neighborhood,geoType,indicator,value,topic,displayTopic,type,format,order,topicOrder
West Rock,1_neighborhood,Owner-occupied households,95,households,Households,table,",",2,16
Westville,1_neighborhood,Owner-occupied households,1657,households,Households,table,",",2,16
Wooster Square/Mill River,1_neighborhood,Owner-occupied households,368,households,Households,table,",",2,16
Connecticut,4_state,Homeownership rate,0.665,households,Households,map,.0%,3,17
Greater New Haven,3_region,Homeownership rate,0.602,households,Households,map,.0%,3,17
New Haven,2_city,Homeownership rate,0.282,households,Households,map,.0%,3,17
Amity,1_neighborhood,Homeownership rate,0.458,households,Households,map,.0%,3,17
Annex,1_neighborhood,Homeownership rate,0.368,households,Households,map,.0%,3,17
Beaver Hills,1_neighborhood,Homeownership rate,0.455,households,Households,map,.0%,3,17
Dixwell,1_neighborhood,Homeownership rate,0.159,households,Households,map,.0%,3,17
Downtown,1_neighborhood,Homeownership rate,0.094,households,Households,map,.0%,3,17
Dwight,1_neighborhood,Homeownership rate,0.133,households,Households,map,.0%,3,17
East Rock,1_neighborhood,Homeownership rate,0.272,households,Households,map,.0%,3,17
East Shore,1_neighborhood,Homeownership rate,0.698,households,Households,map,.0%,3,17
Edgewood,1_neighborhood,Homeownership rate,0.219,households,Households,map,.0%,3,17
Fair Haven,1_neighborhood,Homeownership rate,0.194,households,Households,map,.0%,3,17
Fair Haven Heights,1_neighborhood,Homeownership rate,0.272,households,Households,map,.0%,3,17
Hill,1_neighborhood,Homeownership rate,0.229,households,Households,map,.0%,3,17
Newhallville,1_neighborhood,Homeownership rate,0.311,households,Households,map,.0%,3,17
Prospect Hill,1_neighborhood,Homeownership rate,0.267,households,Households,map,.0%,3,17
Quinnipiac Meadows,1_neighborhood,Homeownership rate,0.403,households,Households,map,.0%,3,17
West River,1_neighborhood,Homeownership rate,0.181,households,Households,map,.0%,3,17
West Rock,1_neighborhood,Homeownership rate,0.104,households,Households,map,.0%,3,17
Westville,1_neighborhood,Homeownership rate,0.453,households,Households,map,.0%,3,17
Wooster Square/Mill River,1_neighborhood,Homeownership rate,0.233,households,Households,map,.0%,3,17
Connecticut,4_state,Poverty status known,3479672,income,Income,table,",",1,18
Greater New Haven,3_region,Poverty status known,445981,income,Income,table,",",1,18
New Haven,2_city,Poverty status known,121847,income,Income,table,",",1,18
Amity,1_neighborhood,Poverty status known,4970,income,Income,table,",",1,18
Annex,1_neighborhood,Poverty status known,6610,income,Income,table,",",1,18
Beaver Hills,1_neighborhood,Poverty status known,5135,income,Income,table,",",1,18
Dixwell,1_neighborhood,Poverty status known,4145,income,Income,table,",",1,18
Downtown,1_neighborhood,Poverty status known,6848,income,Income,table,",",1,18
Dwight,1_neighborhood,Poverty status known,4403,income,Income,table,",",1,18
East Rock,1_neighborhood,Poverty status known,8542,income,Income,table,",",1,18
East Shore,1_neighborhood,Poverty status known,4557,income,Income,table,",",1,18
Edgewood,1_neighborhood,Poverty status known,4368,income,Income,table,",",1,18
Fair Haven,1_neighborhood,Poverty status known,17146,income,Income,table,",",1,18
Fair Haven Heights,1_neighborhood,Poverty status known,6493,income,Income,table,",",1,18
Hill,1_neighborhood,Poverty status known,15664,income,Income,table,",",1,18
Newhallville,1_neighborhood,Poverty status known,5639,income,Income,table,",",1,18
Prospect Hill,1_neighborhood,Poverty status known,3920,income,Income,table,",",1,18
Quinnipiac Meadows,1_neighborhood,Poverty status known,5963,income,Income,table,",",1,18
West River,1_neighborhood,Poverty status known,3349,income,Income,table,",",1,18
West Rock,1_neighborhood,Poverty status known,2343,income,Income,table,",",1,18
Westville,1_neighborhood,Poverty status known,8524,income,Income,table,",",1,18
Wooster Square/Mill River,1_neighborhood,Poverty status known,3228,income,Income,table,",",1,18
Connecticut,4_state,Population in poverty,360464,income,Income,table,",",2,19
Greater New Haven,3_region,Population in poverty,56312,income,Income,table,",",2,19
New Haven,2_city,Population in poverty,31848,income,Income,table,",",2,19
Amity,1_neighborhood,Population in poverty,1033,income,Income,table,",",2,19
Annex,1_neighborhood,Population in poverty,1728,income,Income,table,",",2,19
Beaver Hills,1_neighborhood,Population in poverty,969,income,Income,table,",",2,19
Dixwell,1_neighborhood,Population in poverty,1264,income,Income,table,",",2,19
Downtown,1_neighborhood,Population in poverty,1518,income,Income,table,",",2,19
Dwight,1_neighborhood,Population in poverty,1614,income,Income,table,",",2,19
East Rock,1_neighborhood,Population in poverty,1302,income,Income,table,",",2,19
East Shore,1_neighborhood,Population in poverty,160,income,Income,table,",",2,19
Edgewood,1_neighborhood,Population in poverty,1003,income,Income,table,",",2,19
Fair Haven,1_neighborhood,Population in poverty,5702,income,Income,table,",",2,19
Fair Haven Heights,1_neighborhood,Population in poverty,1425,income,Income,table,",",2,19
Hill,1_neighborhood,Population in poverty,6741,income,Income,table,",",2,19
Newhallville,1_neighborhood,Population in poverty,1724,income,Income,table,",",2,19
Prospect Hill,1_neighborhood,Population in poverty,804,income,Income,table,",",2,19
Quinnipiac Meadows,1_neighborhood,Population in poverty,1224,income,Income,table,",",2,19
West River,1_neighborhood,Population in poverty,1175,income,Income,table,",",2,19
West Rock,1_neighborhood,Population in poverty,835,income,Income,table,",",2,19
Westville,1_neighborhood,Population in poverty,709,income,Income,table,",",2,19
Wooster Square/Mill River,1_neighborhood,Population in poverty,918,income,Income,table,",",2,19
Connecticut,4_state,Poverty rate,0.104,income,Income,map,.0%,3,20
Greater New Haven,3_region,Poverty rate,0.126,income,Income,map,.0%,3,20
New Haven,2_city,Poverty rate,0.261,income,Income,map,.0%,3,20
Amity,1_neighborhood,Poverty rate,0.208,income,Income,map,.0%,3,20
Annex,1_neighborhood,Poverty rate,0.261,income,Income,map,.0%,3,20
Beaver Hills,1_neighborhood,Poverty rate,0.189,income,Income,map,.0%,3,20
Dixwell,1_neighborhood,Poverty rate,0.305,income,Income,map,.0%,3,20
Downtown,1_neighborhood,Poverty rate,0.222,income,Income,map,.0%,3,20
Dwight,1_neighborhood,Poverty rate,0.367,income,Income,map,.0%,3,20
East Rock,1_neighborhood,Poverty rate,0.152,income,Income,map,.0%,3,20
East Shore,1_neighborhood,Poverty rate,0.035,income,Income,map,.0%,3,20
Edgewood,1_neighborhood,Poverty rate,0.23,income,Income,map,.0%,3,20
Fair Haven,1_neighborhood,Poverty rate,0.333,income,Income,map,.0%,3,20
Fair Haven Heights,1_neighborhood,Poverty rate,0.219,income,Income,map,.0%,3,20
Hill,1_neighborhood,Poverty rate,0.43,income,Income,map,.0%,3,20
Newhallville,1_neighborhood,Poverty rate,0.306,income,Income,map,.0%,3,20
Prospect Hill,1_neighborhood,Poverty rate,0.205,income,Income,map,.0%,3,20
Quinnipiac Meadows,1_neighborhood,Poverty rate,0.205,income,Income,map,.0%,3,20
West River,1_neighborhood,Poverty rate,0.351,income,Income,map,.0%,3,20
West Rock,1_neighborhood,Poverty rate,0.356,income,Income,map,.0%,3,20
Westville,1_neighborhood,Poverty rate,0.083,income,Income,map,.0%,3,20
Wooster Square/Mill River,1_neighborhood,Poverty rate,0.284,income,Income,map,.0%,3,20
Connecticut,4_state,Low-income population,812120,income,Income,table,",",4,21
Greater New Haven,3_region,Low-income population,119297,income,Income,table,",",4,21
New Haven,2_city,Low-income population,59454,income,Income,table,",",4,21
Amity,1_neighborhood,Low-income population,2140,income,Income,table,",",4,21
Annex,1_neighborhood,Low-income population,2984,income,Income,table,",",4,21
Beaver Hills,1_neighborhood,Low-income population,2277,income,Income,table,",",4,21
Dixwell,1_neighborhood,Low-income population,2348,income,Income,table,",",4,21
Downtown,1_neighborhood,Low-income population,2488,income,Income,table,",",4,21
Dwight,1_neighborhood,Low-income population,3048,income,Income,table,",",4,21
East Rock,1_neighborhood,Low-income population,2508,income,Income,table,",",4,21
East Shore,1_neighborhood,Low-income population,595,income,Income,table,",",4,21
Edgewood,1_neighborhood,Low-income population,2073,income,Income,table,",",4,21
Fair Haven,1_neighborhood,Low-income population,10899,income,Income,table,",",4,21
Fair Haven Heights,1_neighborhood,Low-income population,3295,income,Income,table,",",4,21
Hill,1_neighborhood,Low-income population,11020,income,Income,table,",",4,21
Newhallville,1_neighborhood,Low-income population,3482,income,Income,table,",",4,21
Prospect Hill,1_neighborhood,Low-income population,1411,income,Income,table,",",4,21
Quinnipiac Meadows,1_neighborhood,Low-income population,2260,income,Income,table,",",4,21
West River,1_neighborhood,Low-income population,2081,income,Income,table,",",4,21
West Rock,1_neighborhood,Low-income population,1395,income,Income,table,",",4,21
Westville,1_neighborhood,Low-income population,1546,income,Income,table,",",4,21
Wooster Square/Mill River,1_neighborhood,Low-income population,1604,income,Income,table,",",4,21
Connecticut,4_state,Low-income rate,0.233,income,Income,map,.0%,5,22
Greater New Haven,3_region,Low-income rate,0.267,income,Income,map,.0%,5,22
New Haven,2_city,Low-income rate,0.488,income,Income,map,.0%,5,22
Amity,1_neighborhood,Low-income rate,0.431,income,Income,map,.0%,5,22
Annex,1_neighborhood,Low-income rate,0.451,income,Income,map,.0%,5,22
Beaver Hills,1_neighborhood,Low-income rate,0.443,income,Income,map,.0%,5,22
Dixwell,1_neighborhood,Low-income rate,0.566,income,Income,map,.0%,5,22
Downtown,1_neighborhood,Low-income rate,0.363,income,Income,map,.0%,5,22
Dwight,1_neighborhood,Low-income rate,0.692,income,Income,map,.0%,5,22
East Rock,1_neighborhood,Low-income rate,0.294,income,Income,map,.0%,5,22
East Shore,1_neighborhood,Low-income rate,0.131,income,Income,map,.0%,5,22
Edgewood,1_neighborhood,Low-income rate,0.475,income,Income,map,.0%,5,22
Fair Haven,1_neighborhood,Low-income rate,0.636,income,Income,map,.0%,5,22
Fair Haven Heights,1_neighborhood,Low-income rate,0.507,income,Income,map,.0%,5,22
Hill,1_neighborhood,Low-income rate,0.704,income,Income,map,.0%,5,22
Newhallville,1_neighborhood,Low-income rate,0.617,income,Income,map,.0%,5,22
Prospect Hill,1_neighborhood,Low-income rate,0.36,income,Income,map,.0%,5,22
Quinnipiac Meadows,1_neighborhood,Low-income rate,0.379,income,Income,map,.0%,5,22
West River,1_neighborhood,Low-income rate,0.621,income,Income,map,.0%,5,22
West Rock,1_neighborhood,Low-income rate,0.595,income,Income,map,.0%,5,22
Westville,1_neighborhood,Low-income rate,0.181,income,Income,map,.0%,5,22
Wooster Square/Mill River,1_neighborhood,Low-income rate,0.497,income,Income,map,.0%,5,22
Connecticut,4_state,High-income population,1394099,income,Income,table,",",6,23
Greater New Haven,3_region,High-income population,166554,income,Income,table,",",6,23
New Haven,2_city,High-income population,22518,income,Income,table,",",6,23
Amity,1_neighborhood,High-income population,1067,income,Income,table,",",6,23
Annex,1_neighborhood,High-income population,914,income,Income,table,",",6,23
Beaver Hills,1_neighborhood,High-income population,1088,income,Income,table,",",6,23
Dixwell,1_neighborhood,High-income population,526,income,Income,table,",",6,23
Downtown,1_neighborhood,High-income population,2110,income,Income,table,",",6,23
Dwight,1_neighborhood,High-income population,464,income,Income,table,",",6,23
East Rock,1_neighborhood,High-income population,3282,income,Income,table,",",6,23
East Shore,1_neighborhood,High-income population,1801,income,Income,table,",",6,23
Edgewood,1_neighborhood,High-income population,774,income,Income,table,",",6,23
Fair Haven,1_neighborhood,High-income population,1071,income,Income,table,",",6,23
Fair Haven Heights,1_neighborhood,High-income population,1036,income,Income,table,",",6,23
Hill,1_neighborhood,High-income population,1172,income,Income,table,",",6,23
Newhallville,1_neighborhood,High-income population,293,income,Income,table,",",6,23
Prospect Hill,1_neighborhood,High-income population,1053,income,Income,table,",",6,23
Quinnipiac Meadows,1_neighborhood,High-income population,1058,income,Income,table,",",6,23
West River,1_neighborhood,High-income population,424,income,Income,table,",",6,23
West Rock,1_neighborhood,High-income population,701,income,Income,table,",",6,23
Westville,1_neighborhood,High-income population,2943,income,Income,table,",",6,23
Wooster Square/Mill River,1_neighborhood,High-income population,741,income,Income,table,",",6,23
Connecticut,4_state,High-income rate,0.401,income,Income,map,.0%,7,24
Greater New Haven,3_region,High-income rate,0.373,income,Income,map,.0%,7,24
New Haven,2_city,High-income rate,0.185,income,Income,map,.0%,7,24
Amity,1_neighborhood,High-income rate,0.215,income,Income,map,.0%,7,24
Annex,1_neighborhood,High-income rate,0.138,income,Income,map,.0%,7,24
Beaver Hills,1_neighborhood,High-income rate,0.239,income,Income,map,.0%,7,24
Dixwell,1_neighborhood,High-income rate,0.127,income,Income,map,.0%,7,24
Downtown,1_neighborhood,High-income rate,0.306,income,Income,map,.0%,7,24
Dwight,1_neighborhood,High-income rate,0.105,income,Income,map,.0%,7,24
East Rock,1_neighborhood,High-income rate,0.379,income,Income,map,.0%,7,24
East Shore,1_neighborhood,High-income rate,0.395,income,Income,map,.0%,7,24
Edgewood,1_neighborhood,High-income rate,0.177,income,Income,map,.0%,7,24
Fair Haven,1_neighborhood,High-income rate,0.063,income,Income,map,.0%,7,24
Fair Haven Heights,1_neighborhood,High-income rate,0.16,income,Income,map,.0%,7,24
Hill,1_neighborhood,High-income rate,0.075,income,Income,map,.0%,7,24
Newhallville,1_neighborhood,High-income rate,0.052,income,Income,map,.0%,7,24
Prospect Hill,1_neighborhood,High-income rate,0.269,income,Income,map,.0%,7,24
Quinnipiac Meadows,1_neighborhood,High-income rate,0.177,income,Income,map,.0%,7,24
West River,1_neighborhood,High-income rate,0.127,income,Income,map,.0%,7,24
West Rock,1_neighborhood,High-income rate,0.162,income,Income,map,.0%,7,24
Westville,1_neighborhood,High-income rate,0.414,income,Income,map,.0%,7,24
Wooster Square/Mill River,1_neighborhood,High-income rate,0.23,income,Income,map,.0%,7,24
Connecticut,4_state,Total population,3588570,immigration,Immigration,table,",",1,25
Greater New Haven,3_region,Total population,464596,immigration,Immigration,table,",",1,25
New Haven,2_city,Total population,130405,immigration,Immigration,table,",",1,25
Amity,1_neighborhood,Total population,4970,immigration,Immigration,table,",",1,25
Annex,1_neighborhood,Total population,6677,immigration,Immigration,table,",",1,25
Beaver Hills,1_neighborhood,Total population,5135,immigration,Immigration,table,",",1,25
Dixwell,1_neighborhood,Total population,4962,immigration,Immigration,table,",",1,25
Downtown,1_neighborhood,Total population,10935,immigration,Immigration,table,",",1,25
Dwight,1_neighborhood,Total population,4403,immigration,Immigration,table,",",1,25
East Rock,1_neighborhood,Total population,8567,immigration,Immigration,table,",",1,25
East Shore,1_neighborhood,Total population,4567,immigration,Immigration,table,",",1,25
Edgewood,1_neighborhood,Total population,4391,immigration,Immigration,table,",",1,25
Fair Haven,1_neighborhood,Total population,17305,immigration,Immigration,table,",",1,25
Fair Haven Heights,1_neighborhood,Total population,6640,immigration,Immigration,table,",",1,25
Hill,1_neighborhood,Total population,16220,immigration,Immigration,table,",",1,25
Newhallville,1_neighborhood,Total population,5639,immigration,Immigration,table,",",1,25
Prospect Hill,1_neighborhood,Total population,4226,immigration,Immigration,table,",",1,25
Quinnipiac Meadows,1_neighborhood,Total population,6014,immigration,Immigration,table,",",1,25
West River,1_neighborhood,Total population,3527,immigration,Immigration,table,",",1,25
West Rock,1_neighborhood,Total population,4415,immigration,Immigration,table,",",1,25
Westville,1_neighborhood,Total population,8548,immigration,Immigration,table,",",1,25
Wooster Square/Mill River,1_neighborhood,Total population,3264,immigration,Immigration,table,",",1,25
Connecticut,4_state,Foreign-born population,503209,immigration,Immigration,table,",",2,26
Greater New Haven,3_region,Foreign-born population,58652,immigration,Immigration,table,",",2,26
New Haven,2_city,Foreign-born population,21167,immigration,Immigration,table,",",2,26
Amity,1_neighborhood,Foreign-born population,631,immigration,Immigration,table,",",2,26
Annex,1_neighborhood,Foreign-born population,1627,immigration,Immigration,table,",",2,26
Beaver Hills,1_neighborhood,Foreign-born population,399,immigration,Immigration,table,",",2,26
Dixwell,1_neighborhood,Foreign-born population,368,immigration,Immigration,table,",",2,26
Downtown,1_neighborhood,Foreign-born population,2500,immigration,Immigration,table,",",2,26
Dwight,1_neighborhood,Foreign-born population,862,immigration,Immigration,table,",",2,26
East Rock,1_neighborhood,Foreign-born population,2499,immigration,Immigration,table,",",2,26
East Shore,1_neighborhood,Foreign-born population,304,immigration,Immigration,table,",",2,26
Edgewood,1_neighborhood,Foreign-born population,413,immigration,Immigration,table,",",2,26
Fair Haven,1_neighborhood,Foreign-born population,3257,immigration,Immigration,table,",",2,26
Fair Haven Heights,1_neighborhood,Foreign-born population,722,immigration,Immigration,table,",",2,26
Hill,1_neighborhood,Foreign-born population,2372,immigration,Immigration,table,",",2,26
Newhallville,1_neighborhood,Foreign-born population,694,immigration,Immigration,table,",",2,26
Prospect Hill,1_neighborhood,Foreign-born population,1027,immigration,Immigration,table,",",2,26
Quinnipiac Meadows,1_neighborhood,Foreign-born population,954,immigration,Immigration,table,",",2,26
West River,1_neighborhood,Foreign-born population,431,immigration,Immigration,table,",",2,26
West Rock,1_neighborhood,Foreign-born population,799,immigration,Immigration,table,",",2,26
Westville,1_neighborhood,Foreign-born population,832,immigration,Immigration,table,",",2,26
Wooster Square/Mill River,1_neighborhood,Foreign-born population,476,immigration,Immigration,table,",",2,26
Connecticut,4_state,Percent foreign-born,0.14,immigration,Immigration,map,.0%,3,27
Greater New Haven,3_region,Percent foreign-born,0.126,immigration,Immigration,map,.0%,3,27
New Haven,2_city,Percent foreign-born,0.162,immigration,Immigration,map,.0%,3,27
Amity,1_neighborhood,Percent foreign-born,0.127,immigration,Immigration,map,.0%,3,27
Annex,1_neighborhood,Percent foreign-born,0.244,immigration,Immigration,map,.0%,3,27
Beaver Hills,1_neighborhood,Percent foreign-born,0.087,immigration,Immigration,map,.0%,3,27
Dixwell,1_neighborhood,Percent foreign-born,0.074,immigration,Immigration,map,.0%,3,27
Downtown,1_neighborhood,Percent foreign-born,0.227,immigration,Immigration,map,.0%,3,27
Dwight,1_neighborhood,Percent foreign-born,0.196,immigration,Immigration,map,.0%,3,27
East Rock,1_neighborhood,Percent foreign-born,0.288,immigration,Immigration,map,.0%,3,27
East Shore,1_neighborhood,Percent foreign-born,0.067,immigration,Immigration,map,.0%,3,27
Edgewood,1_neighborhood,Percent foreign-born,0.094,immigration,Immigration,map,.0%,3,27
Fair Haven,1_neighborhood,Percent foreign-born,0.19,immigration,Immigration,map,.0%,3,27
Fair Haven Heights,1_neighborhood,Percent foreign-born,0.109,immigration,Immigration,map,.0%,3,27
Hill,1_neighborhood,Percent foreign-born,0.146,immigration,Immigration,map,.0%,3,27
Newhallville,1_neighborhood,Percent foreign-born,0.123,immigration,Immigration,map,.0%,3,27
Prospect Hill,1_neighborhood,Percent foreign-born,0.243,immigration,Immigration,map,.0%,3,27
Quinnipiac Meadows,1_neighborhood,Percent foreign-born,0.159,immigration,Immigration,map,.0%,3,27
West River,1_neighborhood,Percent foreign-born,0.122,immigration,Immigration,map,.0%,3,27
West Rock,1_neighborhood,Percent foreign-born,0.125,immigration,Immigration,map,.0%,3,27
Westville,1_neighborhood,Percent foreign-born,0.117,immigration,Immigration,map,.0%,3,27
Wooster Square/Mill River,1_neighborhood,Percent foreign-born,0.146,immigration,Immigration,map,.0%,3,27
Connecticut,4_state,"Under 18, poverty status known",763850,income_kids,Income by age: children,table,",",1,28
Greater New Haven,3_region,"Under 18, poverty status known",93489,income_kids,Income by age: children,table,",",1,28
New Haven,2_city,"Under 18, poverty status known",28364,income_kids,Income by age: children,table,",",1,28
Amity,1_neighborhood,"Under 18, poverty status known",1327,income_kids,Income by age: children,table,",",1,28
Annex,1_neighborhood,"Under 18, poverty status known",1490,income_kids,Income by age: children,table,",",1,28
Beaver Hills,1_neighborhood,"Under 18, poverty status known",1232,income_kids,Income by age: children,table,",",1,28
Dixwell,1_neighborhood,"Under 18, poverty status known",1027,income_kids,Income by age: children,table,",",1,28
Downtown,1_neighborhood,"Under 18, poverty status known",354,income_kids,Income by age: children,table,",",1,28
Dwight,1_neighborhood,"Under 18, poverty status known",915,income_kids,Income by age: children,table,",",1,28
East Rock,1_neighborhood,"Under 18, poverty status known",1241,income_kids,Income by age: children,table,",",1,28
East Shore,1_neighborhood,"Under 18, poverty status known",956,income_kids,Income by age: children,table,",",1,28
Edgewood,1_neighborhood,"Under 18, poverty status known",1085,income_kids,Income by age: children,table,",",1,28
Fair Haven,1_neighborhood,"Under 18, poverty status known",5035,income_kids,Income by age: children,table,",",1,28
Fair Haven Heights,1_neighborhood,"Under 18, poverty status known",1126,income_kids,Income by age: children,table,",",1,28
Hill,1_neighborhood,"Under 18, poverty status known",4893,income_kids,Income by age: children,table,",",1,28
Newhallville,1_neighborhood,"Under 18, poverty status known",1624,income_kids,Income by age: children,table,",",1,28
Prospect Hill,1_neighborhood,"Under 18, poverty status known",987,income_kids,Income by age: children,table,",",1,28
Quinnipiac Meadows,1_neighborhood,"Under 18, poverty status known",1243,income_kids,Income by age: children,table,",",1,28
West River,1_neighborhood,"Under 18, poverty status known",831,income_kids,Income by age: children,table,",",1,28
West Rock,1_neighborhood,"Under 18, poverty status known",1003,income_kids,Income by age: children,table,",",1,28
Westville,1_neighborhood,"Under 18, poverty status known",1528,income_kids,Income by age: children,table,",",1,28
Wooster Square/Mill River,1_neighborhood,"Under 18, poverty status known",467,income_kids,Income by age: children,table,",",1,28
Connecticut,4_state,Children in poverty,107690,income_kids,Income by age: children,table,",",2,29
Greater New Haven,3_region,Children in poverty,16556,income_kids,Income by age: children,table,",",2,29
New Haven,2_city,Children in poverty,10344,income_kids,Income by age: children,table,",",2,29
Amity,1_neighborhood,Children in poverty,397,income_kids,Income by age: children,table,",",2,29
Annex,1_neighborhood,Children in poverty,635,income_kids,Income by age: children,table,",",2,29
Beaver Hills,1_neighborhood,Children in poverty,252,income_kids,Income by age: children,table,",",2,29
Dixwell,1_neighborhood,Children in poverty,501,income_kids,Income by age: children,table,",",2,29
Downtown,1_neighborhood,Children in poverty,124,income_kids,Income by age: children,table,",",2,29
Dwight,1_neighborhood,Children in poverty,341,income_kids,Income by age: children,table,",",2,29
East Rock,1_neighborhood,Children in poverty,184,income_kids,Income by age: children,table,",",2,29
East Shore,1_neighborhood,Children in poverty,32,income_kids,Income by age: children,table,",",2,29
Edgewood,1_neighborhood,Children in poverty,204,income_kids,Income by age: children,table,",",2,29
Fair Haven,1_neighborhood,Children in poverty,2172,income_kids,Income by age: children,table,",",2,29
Fair Haven Heights,1_neighborhood,Children in poverty,312,income_kids,Income by age: children,table,",",2,29
Hill,1_neighborhood,Children in poverty,2897,income_kids,Income by age: children,table,",",2,29
Newhallville,1_neighborhood,Children in poverty,711,income_kids,Income by age: children,table,",",2,29
Prospect Hill,1_neighborhood,Children in poverty,216,income_kids,Income by age: children,table,",",2,29
Quinnipiac Meadows,1_neighborhood,Children in poverty,395,income_kids,Income by age: children,table,",",2,29
West River,1_neighborhood,Children in poverty,279,income_kids,Income by age: children,table,",",2,29
West Rock,1_neighborhood,Children in poverty,437,income_kids,Income by age: children,table,",",2,29
Westville,1_neighborhood,Children in poverty,41,income_kids,Income by age: children,table,",",2,29
Wooster Square/Mill River,1_neighborhood,Children in poverty,214,income_kids,Income by age: children,table,",",2,29
Connecticut,4_state,Child poverty rate,0.141,income_kids,Income by age: children,map,.0%,3,30
Greater New Haven,3_region,Child poverty rate,0.177,income_kids,Income by age: children,map,.0%,3,30
New Haven,2_city,Child poverty rate,0.365,income_kids,Income by age: children,map,.0%,3,30
Amity,1_neighborhood,Child poverty rate,0.299,income_kids,Income by age: children,map,.0%,3,30
Annex,1_neighborhood,Child poverty rate,0.426,income_kids,Income by age: children,map,.0%,3,30
Beaver Hills,1_neighborhood,Child poverty rate,0.205,income_kids,Income by age: children,map,.0%,3,30
Dixwell,1_neighborhood,Child poverty rate,0.488,income_kids,Income by age: children,map,.0%,3,30
Downtown,1_neighborhood,Child poverty rate,0.35,income_kids,Income by age: children,map,.0%,3,30
Dwight,1_neighborhood,Child poverty rate,0.373,income_kids,Income by age: children,map,.0%,3,30
East Rock,1_neighborhood,Child poverty rate,0.148,income_kids,Income by age: children,map,.0%,3,30
East Shore,1_neighborhood,Child poverty rate,0.033,income_kids,Income by age: children,map,.0%,3,30
Edgewood,1_neighborhood,Child poverty rate,0.188,income_kids,Income by age: children,map,.0%,3,30
Fair Haven,1_neighborhood,Child poverty rate,0.431,income_kids,Income by age: children,map,.0%,3,30
Fair Haven Heights,1_neighborhood,Child poverty rate,0.277,income_kids,Income by age: children,map,.0%,3,30
Hill,1_neighborhood,Child poverty rate,0.592,income_kids,Income by age: children,map,.0%,3,30
Newhallville,1_neighborhood,Child poverty rate,0.438,income_kids,Income by age: children,map,.0%,3,30
Prospect Hill,1_neighborhood,Child poverty rate,0.219,income_kids,Income by age: children,map,.0%,3,30
Quinnipiac Meadows,1_neighborhood,Child poverty rate,0.318,income_kids,Income by age: children,map,.0%,3,30
West River,1_neighborhood,Child poverty rate,0.336,income_kids,Income by age: children,map,.0%,3,30
West Rock,1_neighborhood,Child poverty rate,0.436,income_kids,Income by age: children,map,.0%,3,30
Westville,1_neighborhood,Child poverty rate,0.027,income_kids,Income by age: children,map,.0%,3,30
Wooster Square/Mill River,1_neighborhood,Child poverty rate,0.458,income_kids,Income by age: children,map,.0%,3,30
Connecticut,4_state,Low-income children,229817,income_kids,Income by age: children,table,",",4,31
Greater New Haven,3_region,Low-income children,32481,income_kids,Income by age: children,table,",",4,31
New Haven,2_city,Low-income children,18075,income_kids,Income by age: children,table,",",4,31
Amity,1_neighborhood,Low-income children,709,income_kids,Income by age: children,table,",",4,31
Annex,1_neighborhood,Low-income children,985,income_kids,Income by age: children,table,",",4,31
Beaver Hills,1_neighborhood,Low-income children,650,income_kids,Income by age: children,table,",",4,31
Dixwell,1_neighborhood,Low-income children,882,income_kids,Income by age: children,table,",",4,31
Downtown,1_neighborhood,Low-income children,137,income_kids,Income by age: children,table,",",4,31
Dwight,1_neighborhood,Low-income children,757,income_kids,Income by age: children,table,",",4,31
East Rock,1_neighborhood,Low-income children,379,income_kids,Income by age: children,table,",",4,31
East Shore,1_neighborhood,Low-income children,150,income_kids,Income by age: children,table,",",4,31
Edgewood,1_neighborhood,Low-income children,522,income_kids,Income by age: children,table,",",4,31
Fair Haven,1_neighborhood,Low-income children,3673,income_kids,Income by age: children,table,",",4,31
Fair Haven Heights,1_neighborhood,Low-income children,745,income_kids,Income by age: children,table,",",4,31
Hill,1_neighborhood,Low-income children,4250,income_kids,Income by age: children,table,",",4,31
Newhallville,1_neighborhood,Low-income children,1265,income_kids,Income by age: children,table,",",4,31
Prospect Hill,1_neighborhood,Low-income children,485,income_kids,Income by age: children,table,",",4,31
Quinnipiac Meadows,1_neighborhood,Low-income children,641,income_kids,Income by age: children,table,",",4,31
West River,1_neighborhood,Low-income children,605,income_kids,Income by age: children,table,",",4,31
West Rock,1_neighborhood,Low-income children,785,income_kids,Income by age: children,table,",",4,31
Westville,1_neighborhood,Low-income children,99,income_kids,Income by age: children,table,",",4,31
Wooster Square/Mill River,1_neighborhood,Low-income children,356,income_kids,Income by age: children,table,",",4,31
Connecticut,4_state,Child low-income rate,0.301,income_kids,Income by age: children,map,.0%,5,32
Greater New Haven,3_region,Child low-income rate,0.347,income_kids,Income by age: children,map,.0%,5,32
New Haven,2_city,Child low-income rate,0.637,income_kids,Income by age: children,map,.0%,5,32
Amity,1_neighborhood,Child low-income rate,0.534,income_kids,Income by age: children,map,.0%,5,32
Annex,1_neighborhood,Child low-income rate,0.661,income_kids,Income by age: children,map,.0%,5,32
Beaver Hills,1_neighborhood,Child low-income rate,0.528,income_kids,Income by age: children,map,.0%,5,32
Dixwell,1_neighborhood,Child low-income rate,0.859,income_kids,Income by age: children,map,.0%,5,32
Downtown,1_neighborhood,Child low-income rate,0.387,income_kids,Income by age: children,map,.0%,5,32
Dwight,1_neighborhood,Child low-income rate,0.827,income_kids,Income by age: children,map,.0%,5,32
East Rock,1_neighborhood,Child low-income rate,0.306,income_kids,Income by age: children,map,.0%,5,32
